
 alpha             beta            gamma           k       noise           iteration                       D1_rel          D2_rel         Boudnary_1       Boundary_2 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 86                       	 & +1.949 	 & +0.071 	 & +0.060 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 5 	 & 0.300 	 & 83                       	 & +2.008 	 & +0.069 	 & +0.061 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 5 	 & 0.975 	 & 94                       	 & +2.951 	 & +0.024 	 & +0.066 	 & +0.059 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 141                       	 & +0.676 	 & +0.023 	 & +0.034 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 141                       	 & +0.701 	 & +0.010 	 & +0.035 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 155                       	 & +0.957 	 & -0.026 	 & +0.040 	 & +0.042 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 20 	 & 0.000 	 & 209                       	 & +0.395 	 & -0.016 	 & +0.032 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 20 	 & 0.300 	 & 236                       	 & +0.416 	 & -0.024 	 & +0.032 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 0.0e+00 	 & 20 	 & 0.975 	 & 282                       	 & +0.623 	 & -0.070 	 & +0.038 	 & +0.042 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 5 	 & 0.000 	 & 94                       	 & +1.951 	 & +0.071 	 & +0.060 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 5 	 & 0.300 	 & 91                       	 & +2.030 	 & +0.067 	 & +0.060 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 5 	 & 0.975 	 & 101                       	 & +2.876 	 & +0.017 	 & +0.067 	 & +0.059 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 10 	 & 0.000 	 & 124                       	 & +0.676 	 & +0.023 	 & +0.034 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 10 	 & 0.300 	 & 126                       	 & +0.708 	 & +0.011 	 & +0.035 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 10 	 & 0.975 	 & 151                       	 & +0.977 	 & -0.021 	 & +0.040 	 & +0.042 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 20 	 & 0.000 	 & 244                       	 & +0.396 	 & -0.015 	 & +0.031 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 20 	 & 0.300 	 & 217                       	 & +0.410 	 & -0.023 	 & +0.032 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e-02 	 & 20 	 & 0.975 	 & 266                       	 & +0.587 	 & -0.074 	 & +0.037 	 & +0.042 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 5 	 & 0.000 	 & 285                       	 & +1.979 	 & +0.071 	 & +0.060 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 5 	 & 0.300 	 & 363                       	 & +2.090 	 & +0.059 	 & +0.060 	 & +0.054 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 5 	 & 0.975 	 & 500                       	 & +3.077 	 & -0.014 	 & +0.063 	 & +0.058 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 10 	 & 0.000 	 & 143                       	 & +0.688 	 & +0.022 	 & +0.034 	 & +0.037 \\ 
